what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1333588769269
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1333588776306
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588778754
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588781020
executed,command,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1333588781079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588783862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588802138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588851854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588854431
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333588857056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588859584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588865628
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1333588866364
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1333588870494
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1333588872872
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1333588872961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588874792
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588888267
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333588893964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588899467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588901496
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1333588902102
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1333588902150
activated,perspective,org.python.pydev,2.4.0.2012020116,"org.python.pydev.ui.PythonPerspective",1333588906052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588908090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588911476
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333588957404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588973566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333588975965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589005472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589006521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589039049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589050505
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333589088052
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333589108563
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589124761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589126165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589186271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589188075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589194741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589236228
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333589283185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589299523
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589303586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589307829
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589628607
started,bundle,org.python.pydev.customizations,2.4.0.2012020116,"org.python.pydev.customizations",1333589630249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589631603
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589632997
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333589633742
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333589677583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333589679089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333589680134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333589680862
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333589681479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333589716267
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1333589716650
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333589718574
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333589720718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333589721320
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333589721944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589795920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589798679
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333589827204
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333589828709
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333589832602
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333589842746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333589843079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333589843338
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333589843583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333589843823
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333589844048
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333589844266
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333589844495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333589844773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1333589845026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589868371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589869687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589909969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589911839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333589995957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333589999526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333590142179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333590229774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333590538808
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333590581862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333590741741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333590757860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333591365750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333591382255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333591398414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333591447821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333591453654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333591457099
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333591904737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333591933795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592012377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592022890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592089542
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592175771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592181192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592184012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592228683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592242203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592244460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592246096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592252306
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592262584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592265319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592267957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592270265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592307002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592312953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592319995
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592358183
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592362675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592396339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592409296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592412853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592429675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592436676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592465918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592570345
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592592291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592837817
error,log,,,"Unhandled: ExtSlice[dims=[Index[value=Name[id=trainIdx, ctx=Load, reserved=false]], Slice[lower=null, upper=null, step=null]]]",1333592882039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592900149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592902113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592946515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592947779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592958574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592959788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592960916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592964278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592995046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333592996310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593142568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593169320
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333593179557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593183160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593360412
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593430921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593442158
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333593452256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593484152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593492488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333593494818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593510888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593512206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593561650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593609672
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333593624303
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333593639834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593716025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593868343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593933918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593935213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593947750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333593974604
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333594013050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333594022680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333594352589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333594354110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333594355144
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333594356040
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1333594358115
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1333594360229
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1333594360229
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1333594360229
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1333594360229
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1333594360229
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1333594360229
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1333594360229
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1333594360229
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1333594360229
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1333594360229
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1333594360230
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1333594360230
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.401.v201108240414,"org.eclipse.jst.ws.consumption.ui",1333594360230
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.601.v201108230319,"org.eclipse.jst.ws.consumption",1333594360230
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1333594360230
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1333594360230
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1333594360230
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1333594360230
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1333594360230
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1333594360247
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1333594360247
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1333594360247
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1333594360247
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1333594360247
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1333594360268
stopped,bundle,org.eclipse.wst.wsi,1.0.401.v201104071820,"org.eclipse.wst.wsi",1333594360270
stopped,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1333594360271
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1333594360271
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1333594360271
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1333594360271
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.0.0.v201104110000,"org.eclipse.jpt.dbws.eclipselink.ui",1333594360271
stopped,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1333594360271
stopped,bundle,org.eclipse.jst.ws.jaxws.core,1.0.100.v201104031139,"org.eclipse.jst.ws.jaxws.core",1333594360271
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1333594360306
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1333594360306
stopped,bundle,org.eclipse.mylyn.commons.xmlrpc,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.xmlrpc",1333594360306
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.2.v201105111200,"org.eclipse.datatools.enablement.oda.ws.ui",1333594360306
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.2.v201106161731,"org.eclipse.datatools.enablement.oda.ws",1333594360331
stopped,bundle,org.eclipse.wst.wsdl,1.2.202.v201108230355,"org.eclipse.wst.wsdl",1333594360332
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1333594360332
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1333594360332
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1333594360333
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1333594360333
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.100.v201105030025,"org.eclipse.wst.xml.xpath.ui",1333594360333
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1333594360338
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.launching",1333594360338
stopped,bundle,org.eclipse.wst.xsl.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.launching",1333594360338
stopped,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1333594360338
stopped,bundle,org.eclipse.wst.xml.xpath.core,1.2.1.v201109010357,"org.eclipse.wst.xml.xpath.core",1333594360338
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.1.v201104211630,"org.eclipse.datatools.enablement.oda.xml.ui",1333594360338
stopped,bundle,org.eclipse.datatools.enablement.oda.xml,1.2.1.v201104121500,"org.eclipse.datatools.enablement.oda.xml",1333594360338
stopped,bundle,org.eclipse.wst.xml.xpath2.wtptypes,2.0.0.v201103212215,"org.eclipse.wst.xml.xpath2.wtptypes",1333594360338
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1333594360338
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1333594360338
stopped,bundle,org.python.pydev.mylyn,0.3,"org.python.pydev.mylyn",1333594360338
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1333594360338
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1333594360338
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1333594360338
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1333594360338
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1333594360352
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1333594360352
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1333594360352
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.1.v20110825-0100,"org.eclipse.mylyn.tasks.bugs",1333594360352
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1333594360353
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.ui,2.0.1.v201108080010,"org.eclipse.jpt.jpa.eclipselink.ui",1333594360353
stopped,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1333594360353
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.200.v201104061711,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1333594360353
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1333594360353
stopped,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1333594360353
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.2.2.v201103292152,"org.eclipse.jst.jsf.facesconfig.ui",1333594360353
stopped,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1333594360353
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.100.v201104061711,"org.eclipse.jst.pagedesigner.jsf.ui",1333594360353
stopped,bundle,org.eclipse.jst.pagedesigner,1.3.103.v201109010833,"org.eclipse.jst.pagedesigner",1333594360353
stopped,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1333594360353
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1333594360353
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1333594360353
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.2.100.v201104061711,"org.eclipse.jst.jsf.common.ui",1333594360353
